null,Alta Strada,Wellesley,Italian,meal
null,Lao Sichuan,Framingham,Chinese,meal
null,Lemon Thai,Wellesley,Thai,meal
null,Flour,Cambridge,Dessert,cafe
null,Winsor Dimsum,Boston,Chinese,meal
null,Oga,Natick,Japanese,meal
null,Sweet Kingdom,Newton,Dessert,cafe
null,Bon Chon,Cambridge,Korean,meal
null,Takara,Wellesley,Japanese,meal
null,Oya,Boston,Japanese,meal
null,China Pearl,Quincy,Chinese,meal
null,Cafe Mangal,Wellesley,Turkish,both
null,Dig Inn,Boston,American,both
null,Select Oyster Bar,Boston,American,both
null,Kaju Tofu House,Cambridge,Korean,meal
null,Crema Cafe,Cambridge,American,cafe
null,Teado,Chinatown,Taiwanese,cafe
null,Dumpling House,Chinatown,Chinese,meal
null,Mala Restaurant,Allston,Chinese,meal
null,Shabu Shabu,Chinatown,Chinese,meal
null,Park Restaurant,Cambridge,American,meal
null,Juniper,Wellesley,Mediterranean,meal
